title,description,created_at,deadline,category,priority
Submit project report,Complete and submit the final project report.,02-07-2025,10-07-2025,Education,High
Book flight tickets,Reserve tickets for upcoming vacation.,01-07-2025,10-07-2025,Tech,Low
Doctor appointment,Routine health check-up appointment.,03-07-2025,09-07-2025,Hobby,High
Weekly team sync,Discuss weekly targets and issues with the team.,02-07-2025,11-07-2025,Education,High
Update LinkedIn profile,Add recent achievements to LinkedIn.,08-07-2025,12-07-2025,Tech,Medium
Pay electricity bill,Pay the monthly electricity bill before due date.,03-07-2025,08-07-2025,Fitness,Low
Prepare for hackathon,Team preparation for upcoming hackathon.,09-07-2025,17-07-2025,Fitness,Low
Read data science book,Read one chapter daily from the new book.,07-07-2025,13-07-2025,Health,Medium
Complete online course,Finish the remaining modules of the course.,10-07-2025,13-07-2025,Family,Medium
Organize desk,Sort and clean up the working desk.,01-07-2025,11-07-2025,Hobby,High
Plan weekend trip,Plan an itinerary and book accommodation.,04-07-2025,08-07-2025,Family,Medium
Buy birthday gift,Purchase a gift for sister’s birthday.,04-07-2025,12-07-2025,Tech,Low
Clean garage,Declutter and clean the garage this weekend.,06-07-2025,11-07-2025,Health,High
Write blog post,Write a post on the latest tech trends.,04-07-2025,07-07-2025,Tech,Medium
Install software update,Ensure all systems are updated with the latest patches.,09-07-2025,16-07-2025,Tech,Low
Meditation session,30-minute meditation session.,04-07-2025,10-07-2025,Tech,High
Volunteer at shelter,Participate in weekend volunteer work.,02-07-2025,05-07-2025,Fitness,Low
Watch AI webinar,Attend online webinar on AI advancements.,08-07-2025,12-07-2025,Family,High
Review quarterly goals,Reflect and review personal goals for the quarter.,01-07-2025,09-07-2025,Personal,Medium
Plant garden seeds,Start planting herbs and flowers.,07-07-2025,16-07-2025,Work,Low
Submit project report,Complete and submit the final project report.,04-07-2025,10-07-2025,Work,Low
Book flight tickets,Reserve tickets for upcoming vacation.,05-07-2025,12-07-2025,Work,Medium
Doctor appointment,Routine health check-up appointment.,03-07-2025,11-07-2025,Hobby,High
Weekly team sync,Discuss weekly targets and issues with the team.,01-07-2025,07-07-2025,Work,Low
Update LinkedIn profile,Add recent achievements to LinkedIn.,05-07-2025,09-07-2025,Fitness,Medium
Pay electricity bill,Pay the monthly electricity bill before due date.,08-07-2025,18-07-2025,Hobby,High
Prepare for hackathon,Team preparation for upcoming hackathon.,05-07-2025,09-07-2025,Personal,Low
Read data science book,Read one chapter daily from the new book.,07-07-2025,12-07-2025,Career,Medium
Complete online course,Finish the remaining modules of the course.,03-07-2025,09-07-2025,Personal,High
Organize desk,Sort and clean up the working desk.,09-07-2025,17-07-2025,Fitness,Low
Plan weekend trip,Plan an itinerary and book accommodation.,05-07-2025,13-07-2025,Family,Low
Buy birthday gift,Purchase a gift for sister’s birthday.,10-07-2025,17-07-2025,Work,Medium
Clean garage,Declutter and clean the garage this weekend.,10-07-2025,18-07-2025,Work,High
Write blog post,Write a post on the latest tech trends.,08-07-2025,17-07-2025,Education,Medium
Install software update,Ensure all systems are updated with the latest patches.,10-07-2025,17-07-2025,Family,Medium
Meditation session,30-minute meditation session.,09-07-2025,13-07-2025,Personal,High
Volunteer at shelter,Participate in weekend volunteer work.,07-07-2025,13-07-2025,Education,High
Watch AI webinar,Attend online webinar on AI advancements.,04-07-2025,10-07-2025,Health,High
Review quarterly goals,Reflect and review personal goals for the quarter.,09-07-2025,18-07-2025,Career,Medium
